STAT_DATE,XMMC,year,month,day
2015-11-06,(B)冬瓜(半),2015,11,6
2015-11-07,(B)冬瓜(半),2015,11,7
2015-11-08,(B)冬瓜(半),2015,11,8
2015-11-09,(B)冬瓜(半),2015,11,9
2015-11-10,(B)冬瓜(半),2015,11,10
2015-11-11,(B)冬瓜(半),2015,11,11
2015-11-12,(B)冬瓜(半),2015,11,12
2015-11-13,(B)冬瓜(半),2015,11,13
2015-11-14,(B)冬瓜(半),2015,11,14
2015-11-15,(B)冬瓜(半),2015,11,15
2015-11-16,(B)冬瓜(半),2015,11,16
2015-11-17,(B)冬瓜(半),2015,11,17
2015-11-18,(B)冬瓜(半),2015,11,18
2015-11-19,(B)冬瓜(半),2015,11,19
2015-11-20,(B)冬瓜(半),2015,11,20
2015-11-21,(B)冬瓜(半),2015,11,21
2015-11-22,(B)冬瓜(半),2015,11,22
2015-11-23,(B)冬瓜(半),2015,11,23
2015-11-24,(B)冬瓜(半),2015,11,24
2015-11-25,(B)冬瓜(半),2015,11,25
2015-11-26,(B)冬瓜(半),2015,11,26
2015-11-27,(B)冬瓜(半),2015,11,27
2015-11-28,(B)冬瓜(半),2015,11,28
2015-11-29,(B)冬瓜(半),2015,11,29
2015-11-30,(B)冬瓜(半),2015,11,30
2015-12-01,(B)冬瓜(半),2015,12,1
2015-12-02,(B)冬瓜(半),2015,12,2
2015-12-03,(B)冬瓜(半),2015,12,3
2015-12-04,(B)冬瓜(半),2015,12,4
2015-12-05,(B)冬瓜(半),2015,12,5
2015-12-06,(B)冬瓜(半),2015,12,6
2015-12-07,(B)冬瓜(半),2015,12,7
2015-12-08,(B)冬瓜(半),2015,12,8
2015-12-09,(B)冬瓜(半),2015,12,9
2015-12-10,(B)冬瓜(半),2015,12,10
2015-12-11,(B)冬瓜(半),2015,12,11
2015-12-12,(B)冬瓜(半),2015,12,12
2015-12-13,(B)冬瓜(半),2015,12,13
2015-12-14,(B)冬瓜(半),2015,12,14
2015-12-15,(B)冬瓜(半),2015,12,15
2015-12-16,(B)冬瓜(半),2015,12,16
2015-12-17,(B)冬瓜(半),2015,12,17
2015-12-18,(B)冬瓜(半),2015,12,18
2015-12-19,(B)冬瓜(半),2015,12,19
2015-12-20,(B)冬瓜(半),2015,12,20
2015-12-21,(B)冬瓜(半),2015,12,21
2015-12-22,(B)冬瓜(半),2015,12,22
2015-12-23,(B)冬瓜(半),2015,12,23
2015-12-24,(B)冬瓜(半),2015,12,24
2015-12-25,(B)冬瓜(半),2015,12,25
2015-12-26,(B)冬瓜(半),2015,12,26
2015-12-27,(B)冬瓜(半),2015,12,27
2015-12-28,(B)冬瓜(半),2015,12,28
2015-12-29,(B)冬瓜(半),2015,12,29
