STAT_DATE,XMMC,date
2016-03-04,(B)╤╛╧о(╟К),20160304
2016-03-05,(B)╤╛╧о(╟К),20160305
2016-03-06,(B)╤╛╧о(╟К),20160306
2016-03-07,(B)╤╛╧о(╟К),20160307
2016-03-08,(B)╤╛╧о(╟К),20160308
2016-03-09,(B)╤╛╧о(╟К),20160309
2016-03-10,(B)╤╛╧о(╟К),20160310
2016-03-11,(B)╤╛╧о(╟К),20160311
2016-03-12,(B)╤╛╧о(╟К),20160312
2016-03-13,(B)╤╛╧о(╟К),20160313
2016-03-14,(B)╤╛╧о(╟К),20160314
2016-03-15,(B)╤╛╧о(╟К),20160315
2016-03-16,(B)╤╛╧о(╟К),20160316
2016-03-17,(B)╤╛╧о(╟К),20160317
2016-03-18,(B)╤╛╧о(╟К),20160318
2016-03-19,(B)╤╛╧о(╟К),20160319
2016-03-20,(B)╤╛╧о(╟К),20160320
2016-03-21,(B)╤╛╧о(╟К),20160321
2016-03-22,(B)╤╛╧о(╟К),20160322
2016-03-23,(B)╤╛╧о(╟К),20160323
2016-03-24,(B)╤╛╧о(╟К),20160324
2016-03-25,(B)╤╛╧о(╟К),20160325
2016-03-26,(B)╤╛╧о(╟К),20160326
2016-03-27,(B)╤╛╧о(╟К),20160327
2016-03-28,(B)╤╛╧о(╟К),20160328
2016-03-29,(B)╤╛╧о(╟К),20160329
2016-03-30,(B)╤╛╧о(╟К),20160330
2016-03-31,(B)╤╛╧о(╟К),20160331
2016-04-01,(B)╤╛╧о(╟К),20160401
2016-04-02,(B)╤╛╧о(╟К),20160402
2016-04-03,(B)╤╛╧о(╟К),20160403
2016-04-04,(B)╤╛╧о(╟К),20160404
2016-04-05,(B)╤╛╧о(╟К),20160405
2016-04-06,(B)╤╛╧о(╟К),20160406
2016-04-07,(B)╤╛╧о(╟К),20160407
2016-04-08,(B)╤╛╧о(╟К),20160408
2016-04-09,(B)╤╛╧о(╟К),20160409
2016-04-10,(B)╤╛╧о(╟К),20160410
2016-04-11,(B)╤╛╧о(╟К),20160411
2016-04-12,(B)╤╛╧о(╟К),20160412
2016-04-13,(B)╤╛╧о(╟К),20160413
2016-04-14,(B)╤╛╧о(╟К),20160414
2016-04-15,(B)╤╛╧о(╟К),20160415
2016-04-16,(B)╤╛╧о(╟К),20160416
2016-04-17,(B)╤╛╧о(╟К),20160417
2016-04-18,(B)╤╛╧о(╟К),20160418
2016-04-19,(B)╤╛╧о(╟К),20160419
2016-04-20,(B)╤╛╧о(╟К),20160420
2016-04-21,(B)╤╛╧о(╟К),20160421
2016-04-22,(B)╤╛╧о(╟К),20160422
2016-04-23,(B)╤╛╧о(╟К),20160423
2016-04-24,(B)╤╛╧о(╟К),20160424
2016-04-25,(B)╤╛╧о(╟К),20160425
2016-04-26,(B)╤╛╧о(╟К),20160426
2016-04-27,(B)╤╛╧о(╟К),20160427
2016-04-28,(B)╤╛╧о(╟К),20160428
2016-04-29,(B)╤╛╧о(╟К),20160429
2016-04-30,(B)╤╛╧о(╟К),20160430
2016-05-01,(B)╤╛╧о(╟К),20160501
2016-05-02,(B)╤╛╧о(╟К),20160502
2016-05-03,(B)╤╛╧о(╟К),20160503
2016-05-04,(B)╤╛╧о(╟К),20160504
2016-05-05,(B)╤╛╧о(╟К),20160505
2016-05-06,(B)╤╛╧о(╟К),20160506
2016-05-07,(B)╤╛╧о(╟К),20160507
2016-05-08,(B)╤╛╧о(╟К),20160508
2016-05-09,(B)╤╛╧о(╟К),20160509
2016-05-10,(B)╤╛╧о(╟К),20160510
2016-05-11,(B)╤╛╧о(╟К),20160511
2016-05-12,(B)╤╛╧о(╟К),20160512
2016-05-13,(B)╤╛╧о(╟К),20160513
2016-05-14,(B)╤╛╧о(╟К),20160514
2016-05-15,(B)╤╛╧о(╟К),20160515
2016-05-16,(B)╤╛╧о(╟К),20160516
2016-05-17,(B)╤╛╧о(╟К),20160517
2016-05-18,(B)╤╛╧о(╟К),20160518
2016-05-19,(B)╤╛╧о(╟К),20160519
2016-05-20,(B)╤╛╧о(╟К),20160520
2016-05-21,(B)╤╛╧о(╟К),20160521
2016-05-22,(B)╤╛╧о(╟К),20160522
2016-05-23,(B)╤╛╧о(╟К),20160523
2016-05-24,(B)╤╛╧о(╟К),20160524
2016-05-25,(B)╤╛╧о(╟К),20160525
2016-05-26,(B)╤╛╧о(╟К),20160526
2016-05-27,(B)╤╛╧о(╟К),20160527
2016-05-28,(B)╤╛╧о(╟К),20160528
2016-05-29,(B)╤╛╧о(╟К),20160529
2016-05-30,(B)╤╛╧о(╟К),20160530
2016-05-31,(B)╤╛╧о(╟К),20160531
2016-06-01,(B)╤╛╧о(╟К),20160601
2016-06-02,(B)╤╛╧о(╟К),20160602
2016-06-03,(B)╤╛╧о(╟К),20160603
2016-06-04,(B)╤╛╧о(╟К),20160604
2016-06-05,(B)╤╛╧о(╟К),20160605
2016-06-06,(B)╤╛╧о(╟К),20160606
2016-06-07,(B)╤╛╧о(╟К),20160607
2016-06-08,(B)╤╛╧о(╟К),20160608
2016-06-09,(B)╤╛╧о(╟К),20160609
