STAT_DATE,XMMC,day_of_week,common_holiday,holiday
20151117,(B)╤╛╧о(╟К),1,0,0
20151118,(B)╤╛╧о(╟К),2,0,0
20151119,(B)╤╛╧о(╟К),3,0,0
20151120,(B)╤╛╧о(╟К),4,0,0
20151121,(B)╤╛╧о(╟К),5,1,1
20151122,(B)╤╛╧о(╟К),6,1,1
20151123,(B)╤╛╧о(╟К),0,0,0
20151124,(B)╤╛╧о(╟К),1,0,0
20151125,(B)╤╛╧о(╟К),2,0,0
20151126,(B)╤╛╧о(╟К),3,0,0
20151127,(B)╤╛╧о(╟К),4,0,0
20151128,(B)╤╛╧о(╟К),5,1,1
20151129,(B)╤╛╧о(╟К),6,1,1
20151130,(B)╤╛╧о(╟К),0,0,0
20151201,(B)╤╛╧о(╟К),1,0,0
20151202,(B)╤╛╧о(╟К),2,0,0
20151203,(B)╤╛╧о(╟К),3,0,0
20151204,(B)╤╛╧о(╟К),4,0,0
20151205,(B)╤╛╧о(╟К),5,1,1
20151206,(B)╤╛╧о(╟К),6,1,1
20151207,(B)╤╛╧о(╟К),0,0,0
20151208,(B)╤╛╧о(╟К),1,0,0
20151209,(B)╤╛╧о(╟К),2,0,0
20151210,(B)╤╛╧о(╟К),3,0,0
20151211,(B)╤╛╧о(╟К),4,0,0
20151212,(B)╤╛╧о(╟К),5,1,1
20151213,(B)╤╛╧о(╟К),6,1,1
20151214,(B)╤╛╧о(╟К),0,0,0
20151215,(B)╤╛╧о(╟К),1,0,0
20151216,(B)╤╛╧о(╟К),2,0,0
20151217,(B)╤╛╧о(╟К),3,0,0
20151218,(B)╤╛╧о(╟К),4,0,0
20151219,(B)╤╛╧о(╟К),5,1,1
20151220,(B)╤╛╧о(╟К),6,1,1
20151221,(B)╤╛╧о(╟К),0,0,0
20151222,(B)╤╛╧о(╟К),1,0,0
20151223,(B)╤╛╧о(╟К),2,0,0
20151224,(B)╤╛╧о(╟К),3,0,0
20151225,(B)╤╛╧о(╟К),4,0,0
20151226,(B)╤╛╧о(╟К),5,1,1
20151227,(B)╤╛╧о(╟К),6,1,1
20151228,(B)╤╛╧о(╟К),0,0,0
20151229,(B)╤╛╧о(╟К),1,0,0
20151230,(B)╤╛╧о(╟К),2,0,0
20151231,(B)╤╛╧о(╟К),3,0,0
20160101,(B)╤╛╧о(╟К),4,0,2
20160102,(B)╤╛╧о(╟К),5,1,2
20160103,(B)╤╛╧о(╟К),6,1,2
20160104,(B)╤╛╧о(╟К),0,0,0
20160105,(B)╤╛╧о(╟К),1,0,0
20160106,(B)╤╛╧о(╟К),2,0,0
20160107,(B)╤╛╧о(╟К),3,0,0
20160108,(B)╤╛╧о(╟К),4,0,0
20160109,(B)╤╛╧о(╟К),5,1,1
20160110,(B)╤╛╧о(╟К),6,1,1
20160111,(B)╤╛╧о(╟К),0,0,0
20160112,(B)╤╛╧о(╟К),1,0,0
20160113,(B)╤╛╧о(╟К),2,0,0
20160114,(B)╤╛╧о(╟К),3,0,0
20160115,(B)╤╛╧о(╟К),4,0,0
20160116,(B)╤╛╧о(╟К),5,1,1
20160117,(B)╤╛╧о(╟К),6,1,1
20160118,(B)╤╛╧о(╟К),0,0,0
20160119,(B)╤╛╧о(╟К),1,0,0
20160120,(B)╤╛╧о(╟К),2,0,0
20160121,(B)╤╛╧о(╟К),3,0,0
20160122,(B)╤╛╧о(╟К),4,0,0
20160123,(B)╤╛╧о(╟К),5,1,1
20160124,(B)╤╛╧о(╟К),6,1,1
20160125,(B)╤╛╧о(╟К),0,0,0
20160126,(B)╤╛╧о(╟К),1,0,0
20160127,(B)╤╛╧о(╟К),2,0,0
20160128,(B)╤╛╧о(╟К),3,0,0
20160129,(B)╤╛╧о(╟К),4,0,0
20160130,(B)╤╛╧о(╟К),5,1,1
20160131,(B)╤╛╧о(╟К),6,1,1
20160201,(B)╤╛╧о(╟К),0,0,0
20160202,(B)╤╛╧о(╟К),1,0,0
20160203,(B)╤╛╧о(╟К),2,0,0
20160204,(B)╤╛╧о(╟К),3,0,0
20160205,(B)╤╛╧о(╟К),4,0,0
20160206,(B)╤╛╧о(╟К),5,1,0
20160209,(B)╤╛╧о(╟К),1,0,2
20160210,(B)╤╛╧о(╟К),2,0,2
20160211,(B)╤╛╧о(╟К),3,0,2
20160212,(B)╤╛╧о(╟К),4,0,2
20160213,(B)╤╛╧о(╟К),5,1,2
20160214,(B)╤╛╧о(╟К),6,1,0
20160215,(B)╤╛╧о(╟К),0,0,0
20160216,(B)╤╛╧о(╟К),1,0,0
20160217,(B)╤╛╧о(╟К),2,0,0
20160218,(B)╤╛╧о(╟К),3,0,0
20160219,(B)╤╛╧о(╟К),4,0,0
20160220,(B)╤╛╧о(╟К),5,1,1
20160221,(B)╤╛╧о(╟К),6,1,1
20160222,(B)╤╛╧о(╟К),0,0,0
20160223,(B)╤╛╧о(╟К),1,0,0
20160224,(B)╤╛╧о(╟К),2,0,0
20160225,(B)╤╛╧о(╟К),3,0,0
20160226,(B)╤╛╧о(╟К),4,0,0
20160227,(B)╤╛╧о(╟К),5,1,1
20160228,(B)╤╛╧о(╟К),6,1,1
20160229,(B)╤╛╧о(╟К),0,0,0
20160301,(B)╤╛╧о(╟К),1,0,0
20160302,(B)╤╛╧о(╟К),2,0,0
20160303,(B)╤╛╧о(╟К),3,0,0
20160304,(B)╤╛╧о(╟К),4,0,0
20160305,(B)╤╛╧о(╟К),5,1,1
20160306,(B)╤╛╧о(╟К),6,1,1
20160307,(B)╤╛╧о(╟К),0,0,0
20160308,(B)╤╛╧о(╟К),1,0,0
20160309,(B)╤╛╧о(╟К),2,0,0
20160310,(B)╤╛╧о(╟К),3,0,0
20160311,(B)╤╛╧о(╟К),4,0,0
20160312,(B)╤╛╧о(╟К),5,1,1
20160313,(B)╤╛╧о(╟К),6,1,1
20160314,(B)╤╛╧о(╟К),0,0,0
20160315,(B)╤╛╧о(╟К),1,0,0
20160316,(B)╤╛╧о(╟К),2,0,0
20160317,(B)╤╛╧о(╟К),3,0,0
20160318,(B)╤╛╧о(╟К),4,0,0
20160319,(B)╤╛╧о(╟К),5,1,1
20160320,(B)╤╛╧о(╟К),6,1,1
20160321,(B)╤╛╧о(╟К),0,0,0
20160322,(B)╤╛╧о(╟К),1,0,0
20160323,(B)╤╛╧о(╟К),2,0,0
20160324,(B)╤╛╧о(╟К),3,0,0
20160325,(B)╤╛╧о(╟К),4,0,0
20160326,(B)╤╛╧о(╟К),5,1,1
20160327,(B)╤╛╧о(╟К),6,1,1
20160328,(B)╤╛╧о(╟К),0,0,0
20160329,(B)╤╛╧о(╟К),1,0,0
20160330,(B)╤╛╧о(╟К),2,0,0
20160331,(B)╤╛╧о(╟К),3,0,0
20160401,(B)╤╛╧о(╟К),4,0,0
20160402,(B)╤╛╧о(╟К),5,1,2
20160403,(B)╤╛╧о(╟К),6,1,2
20160404,(B)╤╛╧о(╟К),0,0,2
20160405,(B)╤╛╧о(╟К),1,0,0
20160406,(B)╤╛╧о(╟К),2,0,0
20160407,(B)╤╛╧о(╟К),3,0,0
20160408,(B)╤╛╧о(╟К),4,0,0
20160409,(B)╤╛╧о(╟К),5,1,1
20160410,(B)╤╛╧о(╟К),6,1,1
20160411,(B)╤╛╧о(╟К),0,0,0
20160412,(B)╤╛╧о(╟К),1,0,0
20160413,(B)╤╛╧о(╟К),2,0,0
20160414,(B)╤╛╧о(╟К),3,0,0
20160415,(B)╤╛╧о(╟К),4,0,0
20160416,(B)╤╛╧о(╟К),5,1,1
20160417,(B)╤╛╧о(╟К),6,1,1
20160418,(B)╤╛╧о(╟К),0,0,0
20160419,(B)╤╛╧о(╟К),1,0,0
20160420,(B)╤╛╧о(╟К),2,0,0
20160421,(B)╤╛╧о(╟К),3,0,0
20160422,(B)╤╛╧о(╟К),4,0,0
20160423,(B)╤╛╧о(╟К),5,1,1
20160424,(B)╤╛╧о(╟К),6,1,1
20160425,(B)╤╛╧о(╟К),0,0,0
20160426,(B)╤╛╧о(╟К),1,0,0
20160427,(B)╤╛╧о(╟К),2,0,0
20160428,(B)╤╛╧о(╟К),3,0,0
20160429,(B)╤╛╧о(╟К),4,0,0
20160430,(B)╤╛╧о(╟К),5,1,2
20160501,(B)╤╛╧о(╟К),6,1,2
20160502,(B)╤╛╧о(╟К),0,0,2
20160503,(B)╤╛╧о(╟К),1,0,0
20160504,(B)╤╛╧о(╟К),2,0,0
20160505,(B)╤╛╧о(╟К),3,0,0
20160506,(B)╤╛╧о(╟К),4,0,0
20160507,(B)╤╛╧о(╟К),5,1,1
20160508,(B)╤╛╧о(╟К),6,1,1
20160509,(B)╤╛╧о(╟К),0,0,0
20160510,(B)╤╛╧о(╟К),1,0,0
20160511,(B)╤╛╧о(╟К),2,0,0
20160512,(B)╤╛╧о(╟К),3,0,0
20160513,(B)╤╛╧о(╟К),4,0,0
20160514,(B)╤╛╧о(╟К),5,1,1
20160515,(B)╤╛╧о(╟К),6,1,1
20160516,(B)╤╛╧о(╟К),0,0,0
20160517,(B)╤╛╧о(╟К),1,0,0
20160518,(B)╤╛╧о(╟К),2,0,0
20160519,(B)╤╛╧о(╟К),3,0,0
20160520,(B)╤╛╧о(╟К),4,0,0
20160521,(B)╤╛╧о(╟К),5,1,1
20160522,(B)╤╛╧о(╟К),6,1,1
