STAT_DATE,XMMC,CMSL,CMSL_outlier,same_week1_sales_percent
2015-10-23,(B)¶¬¹Ï(°ë),58,58.0,0.12476129853596435
2015-10-24,(B)¶¬¹Ï(°ë),75,75.0,0.18523233609166137
2015-10-25,(B)¶¬¹Ï(°ë),76,76.0,0.2138765117759389
2015-10-26,(B)¶¬¹Ï(°ë),46,46.0,0.10693825588796944
2015-10-27,(B)¶¬¹Ï(°ë),53,53.0,0.11966900063653724
2015-10-28,(B)¶¬¹Ï(°ë),45,45.0,0.13749204328453216
2015-10-29,(B)¶¬¹Ï(°ë),49,49.0,0.11203055378739657
2015-10-30,(B)¶¬¹Ï(°ë),53,53.0,0.12846347607052896
2015-10-31,(B)¶¬¹Ï(°ë),84,81.0,0.20151133501259447
2015-11-01,(B)¶¬¹Ï(°ë),63,75.75,0.1964735516372796
2015-11-02,(B)¶¬¹Ï(°ë),37,45.0,0.10579345088161209
2015-11-03,(B)¶¬¹Ï(°ë),39,45.0,0.10327455919395466
2015-11-04,(B)¶¬¹Ï(°ë),45,45.0,0.12846347607052896
2015-11-05,(B)¶¬¹Ï(°ë),42,42.0,0.13602015113350127
2015-11-06,(B)¶¬¹Ï(°ë),79,58.0,0.14427860696517414
2015-11-07,(B)¶¬¹Ï(°ë),89,81.0,0.1865671641791045
2015-11-08,(B)¶¬¹Ï(°ë),76,76.0,0.1890547263681592
2015-11-09,(B)¶¬¹Ï(°ë),48,48.0,0.11442786069651742
2015-11-10,(B)¶¬¹Ï(°ë),58,58.0,0.1318407960199005
2015-11-11,(B)¶¬¹Ï(°ë),59,59.0,0.11194029850746269
2015-11-12,(B)¶¬¹Ï(°ë),49,49.0,0.12189054726368159
2015-11-13,(B)¶¬¹Ï(°ë),63,58.0,0.13703943115707823
2015-11-14,(B)¶¬¹Ï(°ë),80,80.0,0.2094376212023271
2015-11-15,(B)¶¬¹Ï(°ë),79,79.0,0.19586296056884292
2015-11-16,(B)¶¬¹Ï(°ë),55,55.0,0.11635423400129283
2015-11-17,(B)¶¬¹Ï(°ë),33,45.0,0.11635423400129283
2015-11-18,(B)¶¬¹Ï(°ë),57,57.0,0.11635423400129283
2015-11-19,(B)¶¬¹Ï(°ë),62,58.0,0.1085972850678733
2015-11-20,(B)¶¬¹Ï(°ë),59,59.0,0.1351981351981352
2015-11-21,(B)¶¬¹Ï(°ë),86,86.0,0.1888111888111888
2015-11-22,(B)¶¬¹Ï(°ë),97,88.75,0.17715617715617715
2015-11-23,(B)¶¬¹Ï(°ë),41,41.0,0.11188811188811189
2015-11-24,(B)¶¬¹Ï(°ë),54,54.0,0.1351981351981352
2015-11-25,(B)¶¬¹Ï(°ë),58,58.0,0.13752913752913754
2015-11-26,(B)¶¬¹Ï(°ë),44,44.0,0.11421911421911422
2015-11-27,(B)¶¬¹Ï(°ë),70,60.0,0.13425925925925927
2015-11-28,(B)¶¬¹Ï(°ë),70,70.0,0.18518518518518517
2015-11-29,(B)¶¬¹Ï(°ë),74,74.0,0.18287037037037038
2015-11-30,(B)¶¬¹Ï(°ë),48,48.0,0.12731481481481483
2015-12-01,(B)¶¬¹Ï(°ë),41,41.0,0.10416666666666667
2015-12-02,(B)¶¬¹Ï(°ë),55,55.0,0.13194444444444445
2015-12-03,(B)¶¬¹Ï(°ë),50,50.0,0.13425925925925927
2015-12-04,(B)¶¬¹Ï(°ë),68,60.0,0.13697040046430645
2015-12-05,(B)¶¬¹Ï(°ë),79,79.0,0.1996517701683111
2015-12-06,(B)¶¬¹Ï(°ë),68,68.0,0.2060359837492745
2015-12-07,(B)¶¬¹Ï(°ë),38,43.25,0.09518282066163668
2015-12-08,(B)¶¬¹Ï(°ë),39,39.0,0.1253627394080093
2015-12-09,(B)¶¬¹Ï(°ë),37,43.25,0.134648868253047
2015-12-10,(B)¶¬¹Ï(°ë),46,46.0,0.10214741729541497
2015-12-11,(B)¶¬¹Ï(°ë),63,63.0,0.1507537688442211
2015-12-12,(B)¶¬¹Ï(°ë),73,73.0,0.17587939698492464
2015-12-13,(B)¶¬¹Ï(°ë),174,88.75,0.18592964824120603
2015-12-14,(B)¶¬¹Ï(°ë),76,60.0,0.12060301507537688
