STAT_DATE,XMMC,CMSL,CMSL_outlier,day_of_week,holiday
2015-12-21,(B)∂¨πœ(∞Î),47,47.0,0,0.0
2015-12-22,(B)∂¨πœ(∞Î),43,43.0,1,0.0
2015-12-23,(B)∂¨πœ(∞Î),44,44.0,2,0.0
2015-12-24,(B)∂¨πœ(∞Î),66,66.0,3,0.0
2015-12-25,(B)∂¨πœ(∞Î),74,61.5,4,0.0
2015-12-26,(B)∂¨πœ(∞Î),78,78.0,5,1.0
2015-12-27,(B)∂¨πœ(∞Î),84,79.5,6,1.0
2015-12-28,(B)∂¨πœ(∞Î),51,51.0,0,0.0
2015-12-29,(B)∂¨πœ(∞Î),47,47.0,1,0.0
2015-12-30,(B)∂¨πœ(∞Î),57,57.0,2,0.0
2015-12-31,(B)∂¨πœ(∞Î),94,61.5,3,0.0
2016-01-01,(B)∂¨πœ(∞Î),91,83.25,4,2.0
2016-01-02,(B)∂¨πœ(∞Î),89,83.25,5,2.0
2016-01-03,(B)∂¨πœ(∞Î),68,68.0,6,2.0
2016-01-04,(B)∂¨πœ(∞Î),35,46.25,0,0.0
2016-01-05,(B)∂¨πœ(∞Î),53,53.0,1,0.0
2016-01-06,(B)∂¨πœ(∞Î),44,44.0,2,0.0
2016-01-07,(B)∂¨πœ(∞Î),53,53.0,3,0.0
2016-01-08,(B)∂¨πœ(∞Î),56,56.0,4,0.0
2016-01-09,(B)∂¨πœ(∞Î),75,75.0,5,1.0
2016-01-10,(B)∂¨πœ(∞Î),66,66.0,6,1.0
2016-01-11,(B)∂¨πœ(∞Î),30,46.25,0,0.0
2016-01-12,(B)∂¨πœ(∞Î),54,54.0,1,0.0
2016-01-13,(B)∂¨πœ(∞Î),48,48.0,2,0.0
2016-01-14,(B)∂¨πœ(∞Î),60,60.0,3,0.0
2016-01-15,(B)∂¨πœ(∞Î),55,55.0,4,0.0
2016-01-16,(B)∂¨πœ(∞Î),76,73.25,5,1.0
2016-01-17,(B)∂¨πœ(∞Î),71,71.0,6,1.0
2016-01-18,(B)∂¨πœ(∞Î),49,49.0,0,0.0
2016-01-19,(B)∂¨πœ(∞Î),62,62.0,1,0.0
2016-01-20,(B)∂¨πœ(∞Î),62,62.0,2,0.0
2016-01-21,(B)∂¨πœ(∞Î),62,62.0,3,0.0
2016-01-22,(B)∂¨πœ(∞Î),63,63.0,4,0.0
2016-01-23,(B)∂¨πœ(∞Î),73,73.0,5,1.0
2016-01-24,(B)∂¨πœ(∞Î),69,69.0,6,1.0
2016-01-25,(B)∂¨πœ(∞Î),51,51.0,0,0.0
2016-01-26,(B)∂¨πœ(∞Î),47,47.0,1,0.0
2016-01-27,(B)∂¨πœ(∞Î),37,46.5,2,0.0
2016-01-28,(B)∂¨πœ(∞Î),50,50.0,3,0.0
2016-01-29,(B)∂¨πœ(∞Î),51,51.0,4,0.0
2016-01-30,(B)∂¨πœ(∞Î),66,68.25,5,1.0
2016-01-31,(B)∂¨πœ(∞Î),74,74.0,6,1.0
2016-02-01,(B)∂¨πœ(∞Î),48,48.0,0,0.0
2016-02-02,(B)∂¨πœ(∞Î),55,55.0,1,0.0
2016-02-03,(B)∂¨πœ(∞Î),45,45.0,2,0.0
2016-02-04,(B)∂¨πœ(∞Î),41,46.5,3,0.0
2016-02-05,(B)∂¨πœ(∞Î),39,46.5,4,0.0
2016-02-06,(B)∂¨πœ(∞Î),42,68.25,5,0.0
2016-02-09,(B)∂¨πœ(∞Î),40,64.75,1,2.0
2016-02-10,(B)∂¨πœ(∞Î),62,62.0,2,2.0
2016-02-11,(B)∂¨πœ(∞Î),70,62.0,3,2.0
2016-02-12,(B)∂¨πœ(∞Î),54,64.75,4,2.0
2016-02-13,(B)∂¨πœ(∞Î),71,71.0,5,2.0
2016-02-14,(B)∂¨πœ(∞Î),58,58.0,6,0.0
2016-02-15,(B)∂¨πœ(∞Î),41,41.0,0,0.0
2016-02-16,(B)∂¨πœ(∞Î),40,40.0,1,0.0
2016-02-17,(B)∂¨πœ(∞Î),46,46.0,2,0.0
2016-02-18,(B)∂¨πœ(∞Î),42,42.0,3,0.0
2016-02-19,(B)∂¨πœ(∞Î),62,46.75,4,0.0
2016-02-20,(B)∂¨πœ(∞Î),66,66.0,5,1.0
2016-02-21,(B)∂¨πœ(∞Î),55,55.0,6,1.0
2016-02-22,(B)∂¨πœ(∞Î),45,45.0,0,0.0
2016-02-23,(B)∂¨πœ(∞Î),37,37.0,1,0.0
2016-02-24,(B)∂¨πœ(∞Î),44,44.0,2,0.0
2016-02-25,(B)∂¨πœ(∞Î),51,46.75,3,0.0
2016-02-26,(B)∂¨πœ(∞Î),41,41.0,4,0.0
2016-02-27,(B)∂¨πœ(∞Î),72,72.0,5,1.0
2016-02-28,(B)∂¨πœ(∞Î),82,72.25,6,1.0
2016-02-29,(B)∂¨πœ(∞Î),32,37.75,0,0.0
2016-03-01,(B)∂¨πœ(∞Î),34,37.75,1,0.0
2016-03-02,(B)∂¨πœ(∞Î),41,41.0,2,0.0
2016-03-03,(B)∂¨πœ(∞Î),49,49.0,3,0.0
2016-03-04,(B)∂¨πœ(∞Î),43,43.0,4,0.0
2016-03-05,(B)∂¨πœ(∞Î),71,71.0,5,1.0
2016-03-06,(B)∂¨πœ(∞Î),54,54.0,6,1.0
2016-03-07,(B)∂¨πœ(∞Î),29,37.75,0,0.0
2016-03-08,(B)∂¨πœ(∞Î),52,46.75,1,0.0
2016-03-09,(B)∂¨πœ(∞Î),33,37.75,2,0.0
2016-03-10,(B)∂¨πœ(∞Î),38,38.0,3,0.0
2016-03-11,(B)∂¨πœ(∞Î),51,46.75,4,0.0
2016-03-12,(B)∂¨πœ(∞Î),73,73.0,5,1.0
2016-03-13,(B)∂¨πœ(∞Î),64,70.75,6,1.0
2016-03-14,(B)∂¨πœ(∞Î),29,29.0,0,0.0
2016-03-15,(B)∂¨πœ(∞Î),34,34.0,1,0.0
2016-03-16,(B)∂¨πœ(∞Î),30,30.0,2,0.0
2016-03-17,(B)∂¨πœ(∞Î),37,37.0,3,0.0
2016-03-18,(B)∂¨πœ(∞Î),57,45.5,4,0.0
2016-03-19,(B)∂¨πœ(∞Î),79,79.0,5,1.0
2016-03-20,(B)∂¨πœ(∞Î),72,72.0,6,1.0
2016-03-21,(B)∂¨πœ(∞Î),35,35.0,0,0.0
2016-03-22,(B)∂¨πœ(∞Î),29,29.0,1,0.0
2016-03-23,(B)∂¨πœ(∞Î),27,27.0,2,0.0
2016-03-24,(B)∂¨πœ(∞Î),26,26.0,3,0.0
2016-03-25,(B)∂¨πœ(∞Î),54,45.5,4,0.0
2016-03-26,(B)∂¨πœ(∞Î),104,79.25,5,1.0
2016-03-27,(B)∂¨πœ(∞Î),72,72.0,6,1.0
2016-03-28,(B)∂¨πœ(∞Î),34,34.0,0,0.0
2016-03-29,(B)∂¨πœ(∞Î),45,45.0,1,0.0
2016-03-30,(B)∂¨πœ(∞Î),37,37.0,2,0.0
2016-03-31,(B)∂¨πœ(∞Î),28,28.0,3,0.0
2016-04-01,(B)∂¨πœ(∞Î),56,45.5,4,0.0
2016-04-02,(B)∂¨πœ(∞Î),67,70.75,5,2.0
2016-04-03,(B)∂¨πœ(∞Î),80,80.0,6,2.0
2016-04-04,(B)∂¨πœ(∞Î),64,45.5,0,2.0
2016-04-05,(B)∂¨πœ(∞Î),33,33.0,1,0.0
2016-04-06,(B)∂¨πœ(∞Î),40,40.0,2,0.0
2016-04-07,(B)∂¨πœ(∞Î),31,31.0,3,0.0
2016-04-08,(B)∂¨πœ(∞Î),47,47.0,4,0.0
2016-04-09,(B)∂¨πœ(∞Î),75,75.0,5,1.0
2016-04-10,(B)∂¨πœ(∞Î),62,62.0,6,1.0
2016-04-11,(B)∂¨πœ(∞Î),48,48.0,0,0.0
2016-04-12,(B)∂¨πœ(∞Î),35,35.0,1,0.0
2016-04-13,(B)∂¨πœ(∞Î),44,44.0,2,0.0
2016-04-14,(B)∂¨πœ(∞Î),40,40.0,3,0.0
2016-04-15,(B)∂¨πœ(∞Î),59,46.5,4,0.0
2016-04-16,(B)∂¨πœ(∞Î),58,58.0,5,1.0
2016-04-17,(B)∂¨πœ(∞Î),62,62.0,6,1.0
2016-04-18,(B)∂¨πœ(∞Î),37,37.0,0,0.0
2016-04-19,(B)∂¨πœ(∞Î),39,39.0,1,0.0
2016-04-20,(B)∂¨πœ(∞Î),45,45.0,2,0.0
2016-04-21,(B)∂¨πœ(∞Î),43,43.0,3,0.0
2016-04-22,(B)∂¨πœ(∞Î),43,43.0,4,0.0
2016-04-23,(B)∂¨πœ(∞Î),69,69.0,5,1.0
2016-04-24,(B)∂¨πœ(∞Î),78,78.0,6,1.0
2016-04-25,(B)∂¨πœ(∞Î),30,37.0,0,0.0
2016-04-26,(B)∂¨πœ(∞Î),46,46.0,1,0.0
2016-04-27,(B)∂¨πœ(∞Î),51,46.5,2,0.0
2016-04-28,(B)∂¨πœ(∞Î),32,37.0,3,0.0
2016-04-29,(B)∂¨πœ(∞Î),79,46.5,4,0.0
2016-04-30,(B)∂¨πœ(∞Î),87,75.75,5,2.0
2016-05-01,(B)∂¨πœ(∞Î),72,72.0,6,2.0
2016-05-02,(B)∂¨πœ(∞Î),83,46.5,0,2.0
2016-05-03,(B)∂¨πœ(∞Î),24,37.0,1,0.0
2016-05-04,(B)∂¨πœ(∞Î),37,37.0,2,0.0
2016-05-05,(B)∂¨πœ(∞Î),39,39.0,3,0.0
2016-05-06,(B)∂¨πœ(∞Î),44,44.0,4,0.0
2016-05-07,(B)∂¨πœ(∞Î),75,75.0,5,1.0
2016-05-08,(B)∂¨πœ(∞Î),102,102.0,6,1.0
2016-05-09,(B)∂¨πœ(∞Î),33,43.75,0,0.0
2016-05-10,(B)∂¨πœ(∞Î),53,53.0,1,0.0
2016-05-11,(B)∂¨πœ(∞Î),38,43.75,2,0.0
2016-05-12,(B)∂¨πœ(∞Î),59,59.0,3,0.0
2016-05-13,(B)∂¨πœ(∞Î),53,53.0,4,0.0
2016-05-14,(B)∂¨πœ(∞Î),106,106.0,5,1.0
2016-05-15,(B)∂¨πœ(∞Î),73,86.25,6,1.0
2016-05-16,(B)∂¨πœ(∞Î),31,43.75,0,0.0
2016-05-17,(B)∂¨πœ(∞Î),44,44.0,1,0.0
2016-05-18,(B)∂¨πœ(∞Î),58,58.0,2,0.0
2016-05-19,(B)∂¨πœ(∞Î),43,43.0,3,0.0
2016-05-20,(B)∂¨πœ(∞Î),62,62.0,4,0.0
2016-05-21,(B)∂¨πœ(∞Î),89,89.0,5,1.0
2016-05-22,(B)∂¨πœ(∞Î),78,86.25,6,1.0
2016-05-23,(B)∂¨πœ(∞Î),56,56.0,0,0.0
2016-05-24,(B)∂¨πœ(∞Î),56,56.0,1,0.0
2016-05-25,(B)∂¨πœ(∞Î),51,51.0,2,0.0
2016-05-26,(B)∂¨πœ(∞Î),51,51.0,3,0.0
2016-05-27,(B)∂¨πœ(∞Î),60,60.0,4,0.0
2016-05-28,(B)∂¨πœ(∞Î),117,103.0,5,1.0
2016-05-29,(B)∂¨πœ(∞Î),101,101.0,6,1.0
2016-05-30,(B)∂¨πœ(∞Î),41,41.0,0,0.0
2016-05-31,(B)∂¨πœ(∞Î),54,54.0,1,0.0
2016-06-01,(B)∂¨πœ(∞Î),78,58.25,2,0.0
2016-06-02,(B)∂¨πœ(∞Î),53,53.0,3,0.0
2016-06-03,(B)∂¨πœ(∞Î),68,58.25,4,0.0
2016-06-04,(B)∂¨πœ(∞Î),101,101.0,5,1.0
2016-06-05,(B)∂¨πœ(∞Î),75,81.0,6,1.0
2016-06-06,(B)∂¨πœ(∞Î),52,52.0,0,0.0
2016-06-07,(B)∂¨πœ(∞Î),72,72.0,1,0.0
2016-06-08,(B)∂¨πœ(∞Î),65,65.0,2,0.0
